"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"203812_at",-1.16906566666667,8.3048095,-12.4032113950389,3.00235522172897e-23,8.5053767745094e-21,42.3155231781034
"229529_at",-1.64581,7.8153905,-12.3697278837722,3.60630012360418e-23,1.01636319205185e-20,42.1347990398619
"229385_s_at",-1.37215483333333,6.07711041666667,-12.3684506531531,3.6316064239896e-23,1.01685632780283e-20,42.127903960353
"226627_at",-1.07079633333333,7.39014916666667,-12.3677659316958,3.6452462779946e-23,1.01685632780283e-20,42.1242074778771
"219091_s_at",-1.763683,8.48984183333333,-12.3425552586922,4.18485062255251e-23,1.16145536948253e-20,41.9880875707228
"232027_at",-1.48435383333334,5.53858275,-12.3227307144761,4.66482802857763e-23,1.28812864880041e-20,41.8810223965143
"206069_s_at",-2.05005733333333,6.5202845,-12.3144530445118,4.88121834168019e-23,1.33440306415682e-20,41.836310842235
"206742_at",-2.8550515,8.75223158333333,-12.311100841781,4.97168514700944e-23,1.35237256424249e-20,41.8182028891192
"206898_at",-1.935574,6.13609166666667,-12.300381555866,5.27239865580214e-23,1.42707126983159e-20,41.7602949657457
"220765_s_at",-1.22492583333334,8.53083225,-12.2707014821911,6.2035658672009e-23,1.67083726004536e-20,41.5999219681315
"236262_at",-1.95267266666667,7.68101433333333,-12.2682720156811,6.28671880882801e-23,1.68493309251309e-20,41.5867923704512
"242332_at",-1.1607,7.37276366666667,-12.2659402205997,6.36757882504404e-23,1.69827986467943e-20,41.5741903023944
"204975_at",-1.69675516666667,11.8657309166667,-12.2565216161515,6.70493323848124e-23,1.77957390686389e-20,41.5232847778209
"205405_at",-1.43757066666667,8.58502066666667,-12.243197326064,7.21299050739452e-23,1.90517031880094e-20,41.4512612655077
"226380_at",-1.88047383333334,8.30838775,-12.2385494876344,7.39914243955359e-23,1.94494285039708e-20,41.4261353435232
"209841_s_at",-2.1063895,7.68914408333333,-12.223709401067,8.02634006621535e-23,2.09971360344653e-20,41.3459026543557
"1552767_a_at",3.43025966666666,6.809227,12.2212722908859,8.13431769893942e-23,2.11782771518815e-20,41.3327252807308
"201341_at",1.20237933333333,9.50338783333333,12.2162977196704,8.35925710475192e-23,2.16174201409287e-20,41.3058269137881
"206167_s_at",-2.10154266666667,8.3259815,-12.215800866298,8.38206322794128e-23,2.16174201409287e-20,41.3031402661372
"64064_at",-1.19983816666668,9.50205041666667,-12.2058111882075,8.85405969294489e-23,2.27274982963268e-20,41.2491199282741
"212097_at",-2.21200299999999,12.0265295,-12.2011094870342,9.08533345738932e-23,2.32121778870449e-20,41.2236930283118
"212071_s_at",-1.0625,12.3394866666667,-12.1798875392957,1.02068874117582e-22,2.58361837610129e-20,41.108909193344
"226101_at",-1.45293466666667,8.3114625,-12.1759872080472,1.04276242479208e-22,2.62288995420546e-20,41.0878106736282
"204115_at",-1.81150683333333,10.1113870833333,-12.1754573285464,1.0457979149827e-22,2.62288995420546e-20,41.084944270548
"226056_at",-1.11744616666667,8.41572658333333,-12.1513288587282,1.19382003851173e-22,2.98046167148991e-20,40.954404355502
"205866_at",-3.40527366666667,9.41504516666667,-12.1490753412242,1.20867354180677e-22,3.00382844992206e-20,40.9422107736
"206170_at",-1.95728383333333,8.58257608333333,-12.1342943190765,1.31079615919875e-22,3.24288597304034e-20,40.8622252836363
"1556325_at",-2.440427,6.60445933333333,-12.1268355620406,1.36556614693074e-22,3.36316797673144e-20,40.8218588433071
"230030_at",3.390935,6.28340783333333,12.1257561874205,1.37367970358758e-22,3.3679792732579e-20,40.8160170760995
"204683_at",-1.27845933333333,9.186574,-12.1143905197107,1.46210194977364e-22,3.56876893320865e-20,40.7545003519139
"228766_at",-3.366812,8.6609185,-12.1129999289291,1.47330473367386e-22,3.57961578984694e-20,40.7469733093843
